id,ord_in_trial,start_time,stop_time,trial_id,x,y,image_index,image_path
1,0,56.51415,56.66615,0,-21.0,-7.190112219897672,469.0,Stimuli/7f6d26f550e4f026854082b1ecda0704.png
2,1,56.71115,57.00815,0,-7.003276930983644,1.5797872561704105,469.0,Stimuli/7f6d26f550e4f026854082b1ecda0704.png
3,0,57.630925,57.746925,1,-0.8143089651167648,4.313874898888379,150.0,Stimuli/a438b46a117f66e434fd870f76f99bff.png
4,1,57.781925,57.952925,1,-1.1510708612332037,5.349633101668491,150.0,Stimuli/a438b46a117f66e434fd870f76f99bff.png
5,2,57.997924999999995,58.124925,1,1.2891407216263895,2.971072284347725,150.0,Stimuli/a438b46a117f66e434fd870f76f99bff.png
6,3,58.174924999999995,58.303925,1,10.364872590648691,0.8844853072724572,150.0,Stimuli/a438b46a117f66e434fd870f76f99bff.png
7,4,58.350925,58.460924999999996,1,8.53317883691093,-6.544486670570447,150.0,Stimuli/a438b46a117f66e434fd870f76f99bff.png
8,0,60.151075000000006,60.357075,2,-3.0031579744511983,1.1663995587351141,729.0,Stimuli/55644ac07ffce139a75ec1900e3d3493.png
9,1,60.402075,60.521075,2,2.3048113505886136,1.3484755895557192,729.0,Stimuli/55644ac07ffce139a75ec1900e3d3493.png
10,2,60.557075000000005,60.821075,2,1.040448318743864,3.9031638336197405,729.0,Stimuli/55644ac07ffce139a75ec1900e3d3493.png
11,3,60.873075,61.166075000000006,2,13.330573242399916,6.180073920788674,729.0,Stimuli/55644ac07ffce139a75ec1900e3d3493.png
12,0,62.529825,62.857825000000005,3,-0.2975959573563975,1.9176807899921706,365.0,Stimuli/13bb27d552139932edc9639ab0dffc0e.png
13,1,62.899825,63.195825,3,-0.8456845572671229,5.223541317386853,365.0,Stimuli/13bb27d552139932edc9639ab0dffc0e.png
14,2,63.248825000000004,63.472825,3,7.497151801378018,4.743098118262361,365.0,Stimuli/13bb27d552139932edc9639ab0dffc0e.png
15,3,63.525825000000005,63.725825,3,9.544029024159393,-3.6057941368172726,365.0,Stimuli/13bb27d552139932edc9639ab0dffc0e.png
16,4,63.758825,63.856825,3,8.228210861581221,-3.247594326737393,365.0,Stimuli/13bb27d552139932edc9639ab0dffc0e.png
17,5,63.907825,64.105825,3,-0.3633754731290535,-3.275210473860073,365.0,Stimuli/13bb27d552139932edc9639ab0dffc0e.png
18,0,64.979625,65.304625,4,-0.2331754677276601,2.762079809868033,154.0,Stimuli/defee9dccb62da47b43ed7eeeef3e4b0.png
19,1,65.347625,65.491625,4,0.3518478462328411,-0.7453459603613273,154.0,Stimuli/defee9dccb62da47b43ed7eeeef3e4b0.png
20,2,65.539625,65.660625,4,4.467823513640063,-4.171628483693245,154.0,Stimuli/defee9dccb62da47b43ed7eeeef3e4b0.png
21,3,65.704625,65.810625,4,0.15492301763183744,-0.8125834252969611,154.0,Stimuli/defee9dccb62da47b43ed7eeeef3e4b0.png
22,4,65.845625,66.364625,4,-1.731924922243105,1.1456185547028699,154.0,Stimuli/defee9dccb62da47b43ed7eeeef3e4b0.png
23,5,66.405625,66.569625,4,0.7603445087704666,-1.3203159405330889,154.0,Stimuli/defee9dccb62da47b43ed7eeeef3e4b0.png
24,6,66.613625,66.755625,4,4.661524698310125,-4.271121256597585,154.0,Stimuli/defee9dccb62da47b43ed7eeeef3e4b0.png
25,0,67.429975,67.537975,5,2.0740852965401717,-2.811935264706176,66.0,Stimuli/4d995bce579396fbdb228708fc2a5108.png
26,1,67.584975,67.948975,5,0.5831296362959009,-0.10463568886696172,66.0,Stimuli/4d995bce579396fbdb228708fc2a5108.png
27,2,67.998975,68.117975,5,3.869122837640847,7.777081717054095,66.0,Stimuli/4d995bce579396fbdb228708fc2a5108.png
28,3,68.170975,68.402975,5,11.081896715119575,0.9131671420005859,66.0,Stimuli/4d995bce579396fbdb228708fc2a5108.png
29,4,68.458975,68.549975,5,3.322934431071671,5.166518550471351,66.0,Stimuli/4d995bce579396fbdb228708fc2a5108.png
30,5,68.582975,68.759975,5,3.1170096967663485,7.151694790552031,66.0,Stimuli/4d995bce579396fbdb228708fc2a5108.png
31,6,68.811975,69.147975,5,11.59214950087513,9.6877334691605,66.0,Stimuli/4d995bce579396fbdb228708fc2a5108.png
32,0,69.8844,69.9174,6,1.6287486048666404,0.08716198301158926,225.0,Stimuli/ec2acdade8cd11787f69572bba2bd76e.png
33,1,69.9614,70.2694,6,-0.5278469182856605,1.66977102364253,225.0,Stimuli/ec2acdade8cd11787f69572bba2bd76e.png
34,2,70.3244,70.4044,6,-6.353742604724909,6.64683512431507,225.0,Stimuli/ec2acdade8cd11787f69572bba2bd76e.png
35,3,70.4374,70.5984,6,-6.623585157891869,8.174104844249058,225.0,Stimuli/ec2acdade8cd11787f69572bba2bd76e.png
36,4,70.6364,70.7324,6,-6.586523472947675,5.847557702802635,225.0,Stimuli/ec2acdade8cd11787f69572bba2bd76e.png
37,5,70.7704,71.3494,6,-6.837883539021738,7.893946347949605,225.0,Stimuli/ec2acdade8cd11787f69572bba2bd76e.png
38,6,71.3934,71.5294,6,-4.842678199006332,5.1621449548417955,225.0,Stimuli/ec2acdade8cd11787f69572bba2bd76e.png
39,0,72.327425,72.619425,7,-1.8012694404059775,1.1503148673791117,950.0,Stimuli/f573f042e43c3a80277557de47af743a.png
